client_id,sessionId,deviceCategory,platform,dataSource,sessionDate,activityTime,source,medium,channelGrouping,campaign,keyword,hostname,landingPagePath,activityType,customDimension,pageview.pagePath,pageview.pageTitle
1000258874.157748,1583622876,mobile,Android,web,2020-03-07,2020-03-07T23:14:36.472859Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/,PAGEVIEW,[{'index': 1}],/,Best Data Science and AI Courses in Canada | WeCloudData
1000258874.157748,1581274174,mobile,Android,web,2020-02-09,,,,,,,,,,,,
1000258874.157748,1581222974,mobile,Android,web,2020-02-08,2020-02-09T04:36:14.738871Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/courses/,PAGEVIEW,[{'index': 1}],/courses/,Courses Archive - WeCloudData
1000258874.157748,1581213845,mobile,Android,web,2020-02-08,,,,,,,,,,,,
1000258874.157748,1581210529,mobile,Android,web,2020-02-08,2020-02-09T01:08:49.854196Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/,PAGEVIEW,[{'index': 1}],/,Best Data Science and AI Courses in Canada | WeCloudData
1000489776.1579008,1579015037,mobile,Android,web,2020-01-14,2020-01-14T15:17:17.019007Z,google,cpc,Paid Search,Full-time Bootcamp,data science course toronto,weclouddata.com,/courses/data-science-diploma/,PAGEVIEW,[{'index': 1}],/courses/data-science-diploma/,Best Data Science Training in Canada | Diploma Program | WeCloudData
1000489776.1579008,1579014420,mobile,Android,web,2020-01-14,2020-01-14T15:07:00.978933Z,google,cpc,Paid Search,Full-time Bootcamp,data science syllabus,weclouddata.com,/courses/,PAGEVIEW,[{'index': 1}],/courses/,Courses Archive - WeCloudData
1000489776.1579008,1579007797,mobile,Android,web,2020-01-14,2020-01-14T13:16:37.095296Z,google,cpc,Paid Search,Full-time Bootcamp,big data science training,weclouddata.com,/courses/data-science-diploma/,PAGEVIEW,[{'index': 1}],/courses/data-science-diploma/,Best Data Science Training in Canada | Diploma Program | WeCloudData
1002483947.1578016,1578103632,desktop,Windows,web,2020-01-03,,,,,,,,,,,,
1002483947.1578016,1578097966,desktop,Windows,web,2020-01-03,,,,,,,,,,,,
1002483947.1578016,1578019251,desktop,Windows,web,2020-01-02,,,,,,,,,,,,
1002483947.1578016,1578016879,desktop,Windows,web,2020-01-02,2020-01-03T02:01:19.470314Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/,PAGEVIEW,[{'index': 1}],/,Best Data Scinece and AI Courses in Canada | WeCloudData
1003730172.1586874,1586932295,desktop,Windows,web,2020-04-15,,,,,,,,,,,,
1003730172.1586874,1586897949,desktop,Windows,web,2020-04-14,2020-04-14T20:59:09.163883Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/courses/programming-for-data-engineers/,PAGEVIEW,[{'index': 1}],/courses/programming-for-data-engineers/,Data Engineering Training | Toronto | WeCloudData
1003730172.1586874,1586874561,desktop,Windows,web,2020-04-14,,,,,,,,,,,,
1005767261.1582768,1583123848,desktop,Windows,web,2020-03-01,,,,,,,,,,,,
1005767261.1582768,1582774804,desktop,Windows,web,2020-02-26,2020-02-27T03:40:04.465273Z,l.facebook.com,referral,Social,(not set),(not set),weclouddata.com,/courses/sql-for-data-science/,PAGEVIEW,[{'index': 1}],/courses/sql-for-data-science/,SQL for Data Science - WeCloudData
1005767261.1582768,1582767979,desktop,Windows,web,2020-02-26,,,,,,,,,,,,
1006777270.158136,1581462935,mobile,iOS,web,2020-02-11,,,,,,,,,,,,
1006777270.158136,1581452768,mobile,iOS,web,2020-02-11,2020-02-11T20:26:08.568855Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/,PAGEVIEW,[{'index': 1}],/,Best Data Science and AI Courses in Canada | WeCloudData
1006777270.158136,1581444770,mobile,iOS,web,2020-02-11,,,,,,,,,,,,
1006777270.158136,1581392902,mobile,iOS,web,2020-02-10,2020-02-11T03:48:22.633909Z,google,organic,Organic Search,(not set),(not provided),weclouddata.com,/courses/data-science-diploma/,PAGEVIEW,[{'index': 1}],/courses/data-science-diploma/,Best Data Science Training in Canada | Diploma Program | WeCloudData
1006777270.158136,1581373538,mobile,iOS,web,2020-02-10,,,,,,,,,,,,
1006777270.158136,1581360362,mobile,iOS,web,2020-02-10,,,,,,,,,,,,
1008832220.1586008,1586007383,mobile,Android,web,2020-04-04,2020-04-04T13:36:23.697233Z,google,cpc,Display,pt_dsf_Python,(content targeting),weclouddata.com,/courses/python-foundations/,PAGEVIEW,[{'index': 1}],/courses/python-foundations/,Python Foundations - Online Live Classroom - WeCloudData
1008832220.1586008,1586007288,mobile,Android,web,2020-04-04,2020-04-04T13:34:48.218446Z,google,cpc,Display,pt_dsf_Python,(content targeting),weclouddata.com,/courses/python-foundations/,PAGEVIEW,[{'index': 1}],/courses/python-foundations/,Python Foundations - Online Live Classroom - WeCloudData
